Designator,Reference,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0402_1005Metric,134.75,-100.75,0,top
C2,2.2u,C_0402_1005Metric,136.75,-100.75,0,top
C3,10n,C_0402_1005Metric,137.75,-109,180,top
C4,"470n, 10V",C_0402_1005Metric,134.73,-114.25,180,top
C5,10n,C_0402_1005Metric,139.75,-109,0,top
C6,100n,C_0402_1005Metric,134.75,-113.25,0,top
C7,100n,C_0402_1005Metric,137.5,-116,0,top
C8,10p,C_0402_1005Metric,148,-104.75,180,top
C9,10p,C_0402_1005Metric,149.5,-102.75,90,top
C10,1u 25v,C_0402_1005Metric,138.25,-107,180,top
C11,100n,C_0402_1005Metric,138.5,-102.5,-90,top
C12,10u,C_0402_1005Metric,138.5,-105.5,90,top
C13,1u 25v,C_0402_1005Metric,146.5,-105.75,90,top
C14,1.2p,C_0402_1005Metric,149.75,-113,90,top
C15,1.2p,C_0402_1005Metric,148.75,-114.25,-90,top
C16,1.2p,C_0402_1005Metric,150.75,-113,-90,top
C17,10p,C_0402_1005Metric,146.5,-107.75,-90,top
C18,100n,C_0402_1005Metric,148.5,-106.48,90,top
C19,10p,C_0402_1005Metric,147.5,-106.5,90,top
C20,1.2p,C_0402_1005Metric,143,-115.25,180,top
D1,LED,LED_0603_1608Metric,134,-107.5,90,top
H5,MountingHole_Pad,Mouse bites_7mm,155,-95,135,top
H6,MountingHole_Pad,Mouse bites_7mm,154.981299,-120.018701,45,top
H11,MountingHole_Pad,Mouse bites_7mm,130,-120,135,top
H12,MountingHole_Pad,Mouse bites_7mm,130,-95,45,top
J1,Conn_Coaxial,U.FL_Hirose_U.FL-R-SMT-1_Vertical,149.75,-110,90,top
J7,Conn_01x04_Male,JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal,142.5,-98,180,top
J8,Conn_Coaxial,U.FL_Hirose_U.FL-R-SMT-1_Vertical,145.75,-116.75,-90,top
L1,15u,L_0805_2012Metric,136.75,-117.5,0,top
L2,3n,L_0402_1005Metric,148.25,-112.5,0,top
L3,3n,L_0402_1005Metric,147.75,-114.25,-90,top
R1,100k,R_0402_1005Metric,141.75,-109.6,180,top
R2,10k,R_0402_1005Metric,138.25,-108,180,top
R3,2.2k,R_0402_1005Metric,150.3,-114.5,180,top
R4,1.2k,R_0402_1005Metric,148.7,-116.3,90,top
R5,3.3k,R_0402_1005Metric,135.5,-107.5,-90,top
R6,12k,R_0402_1005Metric,136.75,-99.75,180,top
R7,10k,R_0402_1005Metric,150,-105.25,-90,top
R8,10k,R_0402_1005Metric,151,-105.25,-90,top
R9,10k,R_0402_1005Metric,150.75,-107,0,top
U1,3V3. 500mA,TSOT-23-5,135.25,-103.25,0,top
U2,SX1281,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,138.65,-112.5,-90,top
U3,ESP8285,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,142.5,-105.25,0,top
U4,2450FM07D0034T,2450FM07D0034,142.1,-112.4,-90,top
U6,SE2431L,QFN-24-1EP_3x4mm_P0.4mm_EP1.65x2.65mm,145,-112,0,top
Y1,26M,Crystal_SMD_2016-4Pin_2.0x1.6mm,147.25,-102.75,0,top
Y2,"52Mhz, 8pF",Crystal_SMD_2016-4Pin_2.0x1.6mm,134.5,-111.15,-90,top
